#{"t_start": 1758883056.7693052, "env_id": "BipedalWalker-v3"}
r,l,t
275.438199,1357,1720.17625
269.266882,1449,1723.790077
269.138652,1443,1730.131865
272.384766,1395,1736.89774
265.791756,1467,1742.48658
-109.40369,72,1742.669902
273.926086,1349,1746.263533
274.449158,1386,1752.263181
270.424585,1423,1758.440849
273.401634,1381,1761.969936
276.873817,1322,1767.890095
268.375396,1449,1774.203121
276.130772,1369,1777.939827
264.948666,1503,1784.247115
281.801001,1283,1789.948454
275.654716,1343,1793.467391
266.088201,1487,1799.573707
272.663043,1416,1805.548894
278.893638,1333,1808.944797
278.555036,1337,1814.676924
276.017944,1336,1820.566795
-113.728833,78,1820.774936
277.303123,1317,1824.118762
-116.97082,69,1824.270733
278.981681,1313,1829.980485
277.249466,1347,1835.876808
276.718433,1370,1839.257038
278.836943,1345,1845.003151
275.670958,1384,1850.844797
274.414546,1383,1854.027374
264.198374,1522,1860.359358
274.04967,1387,1866.397355
279.192125,1306,1869.951178
